GEO2010,PctPoorPersons_1980,PctPoorPersons_1990,PctPoorPersons_2000,PctPoorPersons_2010_14,PctPoorChildren_1990,PctPoorChildren_2000,PctPoorChildren_2010_14,PctPoorElderly_1990,PctPoorElderly_2000,PctPoorElderly_2010_14,PctUnemployed_1980,PctUnemployed_1990,PctUnemployed_2000,PctUnemployed_2010_14,Pct16andOverEmployed_1980,Pct16andOverEmployed_1990,Pct16andOverEmployed_2000,Pct16andOverEmployed_2010_14,Pct25andOverWoutHS_1980,Pct25andOverWoutHS_1990,Pct25andOverWoutHS_2000,Pct25andOverWoutHS_2010_14,PctHshldPhone_2000,PctHshldPhone_2010_14,PctHshldCar_2000,PctHshldCar_2010_14,AvgFamilyIncAdj_1980,AvgFamilyIncAdj_1990,AvgFamilyIncAdj_2000,AvgFamilyIncAdj_2010_14,PctChgAvgFamilyIncAdj_1980_1990,PctChgAvgFamilyIncAdj_1990_2000,PctChgAvgFamilyIncA_2000_2010_14,fs_client_2000,fs_client_2001,fs_client_2002,fs_client_2003,fs_client_2004,fs_client_2005,fs_client_2006,fs_client_2007,fs_client_2008,fs_client_2009,fs_client_2010,fs_client_2011,fs_client_2012,fs_client_2013,fs_client_2014,fs_client_2015,tanf_client_2000,tanf_client_2001,tanf_client_2002,tanf_client_2003,tanf_client_2004,tanf_client_2005,tanf_client_2006,tanf_client_2007,tanf_client_2008,tanf_client_2009,tanf_client_2010,tanf_client_2011,tanf_client_2012,tanf_client_2013,tanf_client_2014,tanf_client_2015,Rate_crimes_pt1_violent_2000,Rate_crimes_pt1_violent_2001,Rate_crimes_pt1_violent_2002,Rate_crimes_pt1_violent_2003,Rate_crimes_pt1_violent_2004,Rate_crimes_pt1_violent_2005,Rate_crimes_pt1_violent_2006,Rate_crimes_pt1_violent_2007,Rate_crimes_pt1_violent_2008,Rate_crimes_pt1_violent_2009,Rate_crimes_pt1_violent_2010,Rate_crimes_pt1_violent_2011,Rate_crimes_pt1_violent_2012,Rate_crimes_pt1_violent_2013,Rate_crimes_pt1_violent_2014,Rate_crimes_pt1_violent_2015,Rate_crimes_pt1_property_2000,Rate_crimes_pt1_property_2001,Rate_crimes_pt1_property_2002,Rate_crimes_pt1_property_2003,Rate_crimes_pt1_property_2004,Rate_crimes_pt1_property_2005,Rate_crimes_pt1_property_2006,Rate_crimes_pt1_property_2007,Rate_crimes_pt1_property_2008,Rate_crimes_pt1_property_2009,Rate_crimes_pt1_property_2010,Rate_crimes_pt1_property_2011,Rate_crimes_pt1_property_2012,Rate_crimes_pt1_property_2013,Rate_crimes_pt1_property_2014,Rate_crimes_pt1_property_2015
Tract 1,s,s,5.2,2.4,s,2.6,0,9.6,2.2,0,s,s,1.9,4.2,s,s,72,75,s,s,1.9,0,100,97,79,74,s,s,363441,341722,s,s,-6,5,8,6,5,6,6,6,10,9,13,16,27,25,24,24,18,0,s,s,s,s,0,0,s,s,s,s,s,s,s,s,s,12,11,11,11,8.6,8.2,10,8.7,6,6.8,8.6,6.5,4.5,4.5,3.7,3.7,89,86,71,83,78,87,64,69,73,79,65,77,71,79,79,76
Tract 2.01,s,s,71,86,s,i,i,23,100,0,s,s,3.9,7,s,s,52,24,s,s,14,0,100,100,67,100,s,s,i,i,s,s,i,s,s,s,s,s,s,s,7,s,s,s,11,10,8,8,8,s,0,s,s,s,s,0,s,0,0,s,s,s,s,s,s,1.3,1.1,0.9,0.7,1.7,1.2,2.4,1,0,0.3,0.8,0.8,0.3,0.3,0.5,0.5,22,20,15,10,18,17,13,11,8.4,8.3,12,17,12,9.4,8.7,7.9
Tract 2.02,s,s,24,20,s,6.5,2,13,2.3,4.2,s,s,0.5,4.6,s,s,68,51,s,s,1.4,1.7,100,97,81,80,s,s,291328,300850,s,s,3.3,s,s,s,s,s,5,s,7,s,s,s,8,7,6,6,9,s,0,s,s,s,s,0,s,0,0,s,s,s,s,s,s,13,12,12,9.7,11,8,8.1,13,7.6,5.9,8.5,5.9,4.6,4.6,5.7,4.2,101,100,84,71,75,71,74,79,80,70,62,67,83,81,97,101
Tract 3,s,s,16,12,s,12,3.7,5,0,9,s,s,2.1,3.7,s,s,73,76,s,s,1.9,2.9,100,96,88,84,s,s,166990,218740,s,s,31,18,19,22,18,15,21,19,20,23,38,43,42,57,44,58,54,7,7,6,s,s,8,s,s,6,10,8,6,s,s,s,s,1.7,2.2,1.5,2,1.7,2,1.5,1.8,1.8,1.9,1.8,1.9,1.3,1,1.1,1,19,25,15,18,14,15,16,23,26,21,24,15,17,18,24,23
Tract 4,s,s,3,9.6,s,0,5.3,7.8,0,2.9,s,s,0.4,2.1,s,s,64,64,s,s,0.9,3.6,100,100,94,91,s,s,463490,465322,s,s,0.4,10,6,8,6,6,9,12,11,6,7,s,10,7,11,7,8,0,0,0,0,0,0,s,s,0,0,0,s,s,s,s,s,4,6,2.7,3.4,3.4,4.1,0.7,7.5,4.8,2.7,5.5,4.8,1.4,0,0.7,4.1,64,56,32,37,36,44,48,54,49,65,59,68,38,25,43,40
Tract 5.01,s,s,6,10,s,0,18,14,3.4,0,s,s,3.6,5.3,s,s,78,78,s,s,5.5,1.7,100,98,69,61,s,s,167285,206998,s,s,24,s,s,6,8,11,7,6,14,9,6,s,9,5,7,6,10,0,0,0,s,0,0,s,s,s,0,0,0,0,0,0,0,2.9,8.1,4.1,3,3,4.2,2.6,3.4,2.5,3.3,2.4,3.9,3.3,2.7,1.8,1.2,45,39,40,39,28,27,17,19,23,21,15,28,24,19,19,17
Tract 5.02,s,s,4.3,3.8,s,0,0,1.6,6.3,0,s,s,1.3,1.9,s,s,80,78,s,s,4.7,3.4,100,97,78,73,s,s,217361,288656,s,s,33,7,5,5,8,10,10,9,8,7,16,23,16,16,18,24,26,s,s,s,5,s,s,0,0,0,0,s,s,s,s,s,0,3.6,4.6,3.2,1.6,4.2,2.9,4.5,1.6,2.8,1.6,2.5,1.3,2.5,1.6,3.1,0.9,55,36,35,40,32,24,29,21,28,34,21,18,27,20,19,26
Tract 6,s,s,4.8,7.2,s,0.9,0,6.3,4.8,0,s,s,0.9,2,s,s,63,69,s,s,13,3.4,99,98,81,80,s,s,294290,314649,s,s,6.9,21,22,21,14,17,20,17,10,13,10,20,27,32,36,41,37,5,8,9,6,5,s,s,0,0,s,6,s,0,s,s,0,2.6,3,2.7,2.7,1.3,1.5,1.5,1.3,1.7,2.4,1.8,3.1,2,1.8,1.3,0.4,32,33,29,36,26,22,21,26,32,34,33,31,33,24,25,34
Tract 7.01,s,s,5.8,7.4,s,0,11,2.6,4.1,3.8,s,s,3.9,4.4,s,s,64,64,s,s,4,2.6,100,97,76,79,s,s,180070,148727,s,s,-17,18,12,17,14,16,15,15,11,16,27,39,52,65,71,68,70,5,s,s,s,5,s,s,s,5,5,0,s,8,5,0,0,1.6,0.5,2,0.4,0.7,0.7,0.4,0.4,0.2,0.7,0.2,0.2,0.6,0.2,0.2,0.4,21,21,16,15,17,19,16,10,11,9.6,13,9.3,17,17,14,10
Tract 7.02,s,s,19,8.7,s,24,0,1.9,14,0,s,s,2.9,2.4,s,s,74,80,s,s,4.4,0.8,100,96,67,69,s,s,91471,94738,s,s,3.6,23,20,18,16,24,22,28,24,24,31,35,35,42,44,47,50,7,7,s,s,s,s,7,7,5,7,s,s,0,s,s,6,1.8,1.8,0.9,0.9,0.6,0,0.3,0,0.6,1.2,0.3,0.9,0.3,0.3,0.9,0,9.8,13,10,11,12,11,11,3.9,7.8,10,13,7.4,9.2,5.4,9.5,15
Tract 8.01,s,s,7.4,15,s,3.9,5.2,2.4,0.5,1.5,s,s,20,5.7,s,s,56,53,s,s,1.7,2.2,99,98,85,86,s,s,270493,380182,s,s,41,11,10,9,12,13,12,9,9,9,12,15,26,43,41,42,35,6,s,s,s,s,s,0,0,0,0,s,s,5,7,s,s,0.7,1,0.4,0,0.4,0.3,0.3,0.4,0.1,0.4,0.3,0.3,0.6,0.3,0.3,0.3,15,15,14,11,10,9.7,9.7,9.7,13,12,11,13,11,12,14,16
Tract 8.02,s,s,13,15,s,5.7,1.1,3,3.3,0,s,s,1.5,3.4,s,s,70,64,s,s,2,1.8,100,94,93,89,s,s,226981,264577,s,s,17,s,s,5,5,5,6,s,s,s,5,7,14,14,20,21,23,s,0,0,0,0,s,0,0,0,0,0,s,0,0,0,0,1.1,1.4,3.2,2.5,0.7,1.8,0.7,1.8,0.4,1.7,1.7,1.4,1.4,1,0,0,31,16,14,33,13,12,14,14,19,19,31,16,13,14,10,8.7
Tract 9.01,s,s,4.4,12,s,0,1.6,0,1.4,2.3,s,s,59,9.3,s,s,33,36,s,s,1.9,1.8,100,99,97,93,s,s,416548,397798,s,s,-4.5,5,s,s,s,s,s,s,s,s,s,s,7,16,15,15,22,s,s,s,s,s,s,0,0,0,0,0,s,s,s,s,0,1,1.5,0.7,0.3,0.6,0.3,1.3,0.3,0.4,0.3,0.1,0.1,0.1,0.3,0.3,0.7,21,19,17,17,12,12,9.2,10,7.9,9.2,9.8,9.6,9.5,14,9.6,8.5
Tract 9.02,s,s,3.2,3.4,s,2.1,0,7.2,0,0.3,s,s,0.8,5,s,s,74,68,s,s,3,1.3,100,99,95,98,s,s,288079,271545,s,s,-5.7,s,s,0,s,s,s,s,s,s,5,s,6,18,18,12,15,0,s,0,0,0,0,0,0,0,0,0,s,8,8,s,s,0.5,0.5,0,0.5,0.5,0,0.5,0.5,1,0,0.5,0,0.5,0,0.5,1.4,17,13,9,14,9.4,12,9.8,14,9.2,17,15,8.6,9.1,16,8.6,8.6
Tract 10.01,s,s,4.6,5.3,s,1.4,0.9,5.2,3.4,5.2,s,s,2.8,2.1,s,s,72,63,s,s,3.4,0.7,100,100,87,88,s,s,229532,198528,s,s,-14,10,11,11,10,11,19,22,19,20,28,38,46,34,41,45,55,0,0,0,0,0,s,s,0,0,0,0,s,6,s,s,s,4,4.4,4.3,3.6,3.2,3,1.6,4.4,2.8,3.4,3.1,3.4,2,1.5,1.6,1.6,41,38,35,36,33,29,26,53,61,54,48,48,44,59,52,50
Tract 10.02,s,s,18,28,s,8.5,0,5.7,0,11,s,s,2.5,5.3,s,s,71,73,s,s,1.9,12,99,96,76,75,s,s,107459,157948,s,s,47,10,7,7,11,14,8,6,6,6,19,20,22,21,19,17,22,s,s,s,7,9,0,s,s,s,s,s,s,s,s,s,s,3.2,2.9,2,0.6,2.6,1.7,1.4,1.2,2,0.9,0.9,2.3,0.6,1.5,1.2,1.7,33,30,24,22,30,25,18,19,22,24,17,16,18,13,14,16
Tract 11,s,s,2,5.6,s,0,0,7.9,10,0,s,s,1.3,2.8,s,s,73,64,s,s,4.4,2.6,99,99,88,85,s,s,259148,250226,s,s,-3.4,34,28,32,29,34,36,47,49,45,53,64,74,83,92,87,115,s,0,8,s,0,0,s,s,8,8,7,11,6,7,9,5,7.2,9.4,8.7,6.8,5.7,4.8,7.8,5.1,3.2,4.4,5.4,2.5,3.1,3.1,4.4,4.4,76,62,68,76,73,56,44,33,43,52,40,36,54,71,56,53
Tract 12,s,s,7.2,6.9,s,3.7,0,3,9,7.8,s,s,1.6,2.5,s,s,79,72,s,s,4.6,1.9,100,99,77,68,s,s,196731,200046,s,s,1.7,10,12,16,20,18,13,18,23,20,35,37,34,47,53,39,41,0,5,8,5,s,s,s,6,s,s,9,6,13,9,7,8,2.9,3.1,1.2,1.8,0.6,0.8,0.6,2,2,3,1.4,1.4,2.2,0.6,2.2,2,19,22,23,17,18,18,12,25,26,24,20,24,29,27,36,37
Tract 13.01,s,s,8.1,9.4,s,4.4,4.4,5.7,1.8,6.1,s,s,1,4.3,s,s,72,75,s,s,1.9,1.9,100,99,82,71,s,s,304427,278302,s,s,-8.6,5,s,5,7,11,10,15,9,11,17,21,27,20,22,29,28,0,0,0,0,s,0,0,5,s,6,s,10,5,6,7,s,0.5,1.9,1.8,0.3,0.3,1.6,1.3,0.8,1,0.3,0.8,0.3,0,0.3,0.3,0,22,21,14,24,25,15,14,20,16,16,9.1,16,9.1,7.6,7.1,10
Tract 13.02,s,s,4.3,9.9,s,3.7,5.5,3.1,5.1,8.3,s,s,2.1,3.5,s,s,75,77,s,s,1.6,0.5,99,97,67,62,s,s,170395,187243,s,s,9.9,14,16,17,10,13,13,18,17,16,16,21,37,38,36,43,50,s,s,s,s,s,s,s,s,s,s,0,0,0,0,0,0,3.3,4.8,4,2,2.3,3,2.6,1.2,1.3,1.6,2.2,0.7,0.4,1.3,0.6,0.6,44,33,35,40,30,26,24,17,18,20,18,18,7.4,12,12,12
Tract 14.01,s,s,3.4,11,s,1.4,1.7,2.9,2.4,8.6,s,s,3.9,6,s,s,73,65,s,s,4.2,1.8,100,94,79,79,s,s,268291,289529,s,s,7.9,20,15,13,16,19,20,23,16,17,20,32,31,40,50,47,50,0,0,0,s,s,s,s,s,s,s,s,s,s,s,s,s,3.2,4.1,2.6,2.6,2.6,0.6,1.6,0.3,1.3,0.6,1,0.3,1.3,0.6,1.3,0.6,24,25,21,27,22,17,16,11,11,18,16,17,15,28,17,12
Tract 14.02,s,s,13,9,s,4,5.4,21,33,8.7,s,s,1.9,1.9,s,s,43,68,s,s,17,12,97,100,74,77,s,s,161698,252581,s,s,56,19,13,12,15,18,19,21,15,16,19,30,29,37,47,44,46,0,0,0,s,s,s,s,s,s,s,s,s,s,s,s,s,1,1.8,2.4,1.6,2.5,1.7,1.2,0.9,0.9,1,1.3,2.7,0.7,0.3,0.7,0.3,20,16,19,21,17,18,14,12,17,20,17,16,19,23,12,15
Tract 15,s,s,1.6,2.6,s,0,1.2,3.8,3.8,0,s,s,1.8,1.7,s,s,63,66,s,s,2.1,1.6,100,99,91,96,s,s,212200,257764,s,s,21,0,7,5,5,8,s,s,6,5,7,12,22,25,24,16,27,s,s,s,0,s,0,0,s,0,0,0,s,s,6,s,7,0.5,0.7,0,0.3,0.5,0.2,0.5,0.2,0.3,0,0.3,1.2,0.2,0,0.8,0.2,15,16,14,16,10,13,8.4,11,9.7,18,14,11,9.8,14,21,12
Tract 16,s,s,4.9,2.9,s,6.9,1.3,3.8,5.6,2.7,s,s,3.9,8.2,s,s,63,61,s,s,3.8,2.1,99,97,90,97,s,s,184793,195813,s,s,6,63,58,64,73,78,94,93,102,103,154,181,204,209,203,198,221,29,27,31,34,36,54,33,37,37,42,44,56,51,56,65,61,5,5.2,2.5,5.2,4.2,5.3,5.3,6,6.8,3,4.8,2.8,5.6,5.3,3.5,3,37,42,43,45,28,31,27,35,35,44,35,34,50,38,56,45
Tract 17.02,s,s,4.3,9.4,s,2.2,18,3.9,4.4,2.2,s,s,5.8,9.3,s,s,58,71,s,s,15,8.6,100,100,86,94,s,s,101129,138660,s,s,37,156,152,130,135,158,173,192,192,193,235,262,308,347,362,342,335,87,79,67,65,78,71,77,81,75,90,101,94,107,99,100,92,13,13,18,16,19,13,14,20,14,13,7.2,7.6,7.6,6.8,7.2,6.1,80,89,82,69,64,54,40,49,52,58,60,61,60,65,106,88
Tract 18.03,s,s,12,10,s,12,7.2,16,20,15,s,s,8.8,8.9,s,s,60,66,s,s,24,16,99,95,64,67,s,s,79550,91413,s,s,15,180,178,149,192,208,215,251,258,286,424,550,693,832,877,857,910,81,77,55,66,68,77,86,77,103,128,153,150,198,173,185,189,4.6,5.1,8.6,18,8.6,8.2,5.7,13,5,6.6,6,4,8.5,3.1,4.8,7.4,34,35,44,40,29,25,20,20,20,14,12,12,18,25,32,16
Tract 18.04,s,s,17,14,s,27,18,11,10,9.6,s,s,7.2,8.1,s,s,61,64,s,s,29,30,97,97,64,68,s,s,69454,67859,s,s,-2.3,299,311,333,383,423,447,504,461,505,624,902,1219,1382,1351,1235,1361,141,149,179,187,178,202,246,187,197,227,240,296,322,301,293,292,7.7,9.6,13,14,12,10,11,18,14,13,9.2,7.6,13,10,8.5,14,30,38,40,36,40,27,21,33,36,29,28,28,33,39,80,79
Tract 19.01,s,s,11,13,s,18,24,7.6,8.8,17,s,s,5.1,11,s,s,56,61,s,s,26,7.4,99,98,81,86,s,s,90304,89679,s,s,-0.7,298,275,275,311,366,403,430,481,535,643,750,879,938,911,892,924,164,178,186,167,179,172,168,179,194,205,235,264,271,243,235,250,13,6,9.5,13,12,9.5,9,7,9,12,9.2,8,11,9,7,8.7,33,31,41,38,28,36,21,23,25,25,28,33,32,31,40,45
Tract 19.02,s,s,8.8,10,s,12,28,11,2.8,6,s,s,6.7,8.4,s,s,53,62,s,s,15,11,99,99,79,89,s,s,98017,111715,s,s,14,158,139,142,160,192,192,170,160,192,254,327,351,333,337,325,318,79,74,83,98,106,87,72,80,91,87,103,113,111,101,87,83,6.9,5.9,7.9,13,11,15,12,12,8.1,11,7.6,12,7.6,10,6.1,3.6,45,50,62,58,38,44,49,40,49,50,55,59,29,59,46,49
Tract 20.01,s,s,17,6.8,s,15,2.1,23,20,14,s,s,3,8,s,s,56,63,s,s,26,18,97,97,61,69,s,s,106284,126994,s,s,19,175,184,140,188,199,189,189,210,218,302,392,459,498,535,516,544,81,95,75,86,103,92,71,66,79,109,114,123,128,113,84,81,7.6,4.9,7.7,13,16,11,10,14,14,8.1,9.8,3.8,7.3,8.5,8.5,6.8,30,38,48,40,40,50,33,33,30,23,32,33,31,30,37,26
Tract 20.02,s,s,9.6,16,s,11,16,16,12,7.7,s,s,7.2,14,s,s,56,62,s,s,23,11,100,98,76,85,s,s,100676,120956,s,s,20,321,273,279,295,309,375,362,356,413,554,714,826,882,883,813,781,148,133,131,145,138,160,137,132,146,184,208,196,193,195,154,148,11,5.9,10,17,15,12,9.5,17,15,14,12,7.9,17,11,18,19,57,43,47,47,54,44,30,47,40,34,31,38,47,53,66,52
Tract 21.01,s,s,20,18,s,31,32,15,16,12,s,s,8.6,15,s,s,52,63,s,s,29,18,99,98,64,66,s,s,66317,70097,s,s,5.7,698,662,623,668,775,822,865,829,885,1233,1461,1670,1822,1830,1698,1823,361,387,394,366,418,400,428,393,413,470,501,516,594,576,497,491,15,12,14,21,19,13,13,18,16,16,17,12,15,13,11,14,46,32,35,32,31,41,36,32,23,29,31,30,27,29,30,27
Tract 21.02,s,s,9.1,23,s,9.9,39,12,8.1,14,s,s,11,11,s,s,52,60,s,s,24,9.1,99,96,65,71,s,s,71034,78016,s,s,9.8,545,468,510,610,629,647,669,670,740,872,1091,1256,1305,1347,1170,1223,320,300,312,340,331,313,306,298,315,365,403,417,405,379,311,274,12,14,13,14,11,12,12,9.9,12,10,11,8,11,8.6,9,7.5,39,43,48,35,35,32,36,34,28,28,34,32,28,36,38,39
Tract 22.01,s,s,13,8.2,s,18,0,17,19,12,s,s,5.3,14,s,s,54,59,s,s,31,13,99,98,73,79,s,s,79189,97666,s,s,23,368,357,369,384,406,446,466,498,512,642,780,952,952,942,906,867,215,208,228,219,232,244,246,214,200,230,250,296,305,273,252,240,8.6,7.7,8.3,13,8.6,11,9.2,18,14,13,15,7,10,10,9.9,5.2,33,32,34,33,27,25,22,31,26,22,20,25,17,32,19,20
Tract 22.02,s,s,15,26,s,21,35,16,11,15,s,s,8.4,14,s,s,53,58,s,s,29,16,97,93,66,68,s,s,69270,79334,s,s,15,527,499,452,450,460,513,522,508,592,697,900,1034,1149,1154,1099,1075,270,277,274,243,224,243,236,212,251,262,311,355,362,383,345,270,6.3,8.9,12,11,8.9,14,11,13,13,14,12,8.4,10,12,12,12,26,24,46,33,21,23,19,24,26,26,27,18,28,27,26,24
Tract 23.01,s,s,18,16,s,32,34,22,15,7.2,s,s,9.3,14,s,s,52,60,s,s,30,16,98,99,71,74,s,s,98093,90414,s,s,-7.8,435,384,418,428,441,445,466,409,489,566,633,721,752,781,704,730,262,236,274,254,251,240,235,191,202,204,172,184,208,186,155,170,7.4,4.3,12,9.4,6.4,7.4,8,9.1,7.7,8.1,8.7,5,4.4,8.1,5.7,4.4,31,34,43,34,32,38,22,19,19,26,22,19,18,21,23,24
Tract 23.02,s,s,24,32,s,11,0,31,0,26,s,s,4.2,5.7,s,s,49,41,s,s,12,6.3,98,76,88,56,s,s,71388,82941,s,s,16,25,24,25,30,27,50,64,68,49,45,67,60,61,68,69,75,11,8,5,13,6,17,10,11,15,12,15,17,16,19,17,22,5.2,7.8,7.4,9.7,9.9,11,5.1,3.3,11,4.1,4.9,3.4,4.4,5.4,6.4,5.4,71,102,88,87,69,79,52,65,67,42,31,29,30,41,40,34
Tract 24,s,s,15,13,s,20,27,12,16,7.1,s,s,12,14,s,s,49,61,s,s,32,11,96,98,68,75,s,s,68809,97344,s,s,41,448,396,369,473,503,497,525,575,544,708,834,913,933,900,775,805,241,199,241,263,286,275,248,235,220,268,314,288,314,290,236,218,14,11,15,16,17,17,17,22,23,22,19,12,10,13,11,6.4,40,38,53,42,33,27,34,51,39,45,49,32,40,47,39,32
Tract 25.01,s,s,13,27,s,9,38,14,19,42,s,s,8.4,14,s,s,56,57,s,s,31,22,98,99,67,61,s,s,112832,111647,s,s,-1.1,242,247,228,259,297,281,306,311,311,394,478,563,631,615,547,538,102,104,87,95,123,105,115,108,95,105,116,138,155,139,127,127,15,8.8,14,17,19,9.3,17,20,13,15,12,6.3,9.8,14,7.4,11,39,55,50,39,38,37,29,36,33,29,27,32,42,47,54,49
Tract 25.02,s,s,19,14,s,26,21,14,8.1,11,s,s,6.7,7.1,s,s,55,73,s,s,43,19,97,98,55,53,s,s,58426,120926,s,s,107,610,510,550,609,642,700,700,681,672,938,1271,1556,1767,1806,1596,1699,346,305,310,295,287,351,308,254,249,285,350,354,399,386,342,300,18,12,15,15,15,20,16,15,17,16,13,16,14,16,13,11,48,40,48,40,42,31,34,32,31,30,33,38,41,51,60,58
Tract 26,s,s,8.5,3.7,s,9.4,1.7,5.1,7.8,4.5,s,s,5.8,8.3,s,s,55,64,s,s,6.1,3.5,100,99,86,93,s,s,186242,165154,s,s,-11,29,24,16,31,43,45,44,41,42,71,79,76,88,81,79,77,19,13,7,12,13,12,18,16,8,12,10,18,12,11,11,7,5.9,5.9,5.9,5,3.2,2.8,3.2,3.7,2.3,4.1,2.8,2.3,4.6,2.3,2.3,3.7,60,41,64,49,42,37,37,30,44,44,34,44,48,40,57,40
Tract 27.01,s,s,17,10,s,35,14,7.4,12,24,s,s,5.9,7,s,s,67,76,s,s,27,7.8,98,97,56,51,s,s,84109,122328,s,s,45,263,225,229,227,239,215,220,241,235,334,417,510,517,552,511,520,76,88,93,99,94,71,67,85,61,82,97,97,108,86,81,87,6.8,4.6,5.1,6.8,5.8,5.8,5.3,5.4,3.4,5.3,3.2,3.4,3.1,7.8,3.1,3.6,31,30,35,34,28,22,34,19,25,27,16,21,22,35,36,32
Tract 27.02,s,s,19,7.4,s,23,7.5,31,38,3.7,s,s,5.6,4.4,s,s,72,80,s,s,31,11,95,99,58,67,s,s,97078,137895,s,s,42,310,320,265,274,269,261,276,287,275,317,375,441,499,492,470,506,118,103,94,87,88,69,81,84,69,51,68,56,46,41,27,38,7.3,9.7,13,14,12,13,9.2,12,11,6.4,7.5,8.2,6.9,3.6,4.8,4.4,42,49,60,49,27,29,48,45,35,28,27,30,24,31,42,30
Tract 28.01,s,s,30,23,s,34,36,40,31,40,s,s,12,11,s,s,51,67,s,s,50,27,87,95,42,51,s,s,44624,42687,s,s,-4.3,596,545,473,447,489,508,511,516,541,614,739,824,873,873,808,856,294,281,250,210,235,242,226,220,234,255,253,245,246,213,191,180,21,7.7,18,24,18,20,21,22,19,19,12,14,15,15,10,14,43,43,41,44,41,37,45,29,28,32,27,29,29,29,37,39
Tract 28.02,s,s,33,15,s,42,26,50,31,23,s,s,5.7,5.2,s,s,60,79,s,s,63,28,93,96,30,38,s,s,60496,69605,s,s,15,831,760,658,624,681,708,712,718,772,855,1030,1148,1217,1217,1126,1193,409,391,348,293,328,337,315,307,325,356,352,341,343,296,266,252,12,9.2,13,17,13,15,13,25,26,21,23,25,19,23,23,20,29,32,37,28,26,24,35,58,80,90,109,102,126,128,133,143
Tract 29,s,s,20,11,s,23,24,17,29,4.8,s,s,14,7.4,s,s,55,76,s,s,48,16,91,96,52,55,s,s,70681,96379,s,s,36,471,452,419,414,427,441,406,348,340,438,618,730,729,732,689,686,257,257,241,226,223,210,168,151,129,132,171,175,165,145,123,114,20,16,21,24,23,17,25,24,20,23,16,17,11,13,6.3,9.3,37,41,46,44,43,31,46,54,42,57,49,57,62,84,71,65
Tract 30,s,s,38,26,s,47,51,49,28,36,s,s,17,8.6,s,s,51,68,s,s,39,12,93,96,49,49,s,s,57526,88814,s,s,54,672,629,581,540,596,628,575,558,580,697,812,906,887,892,828,820,392,391,349,310,359,327,284,285,294,327,351,348,324,323,297,237,25,23,34,42,21,33,27,23,25,19,21,22,19,16,10,13,48,60,64,62,48,45,51,50,47,47,46,49,52,58,62,61
Tract 31,s,s,14,11,s,26,22,20,11,14,s,s,19,5.4,s,s,55,72,s,s,45,18,97,99,57,70,s,s,58229,77053,s,s,32,392,390,399,407,415,433,392,327,283,369,461,537,560,600,554,553,249,266,251,210,223,218,163,122,120,117,168,152,139,115,103,119,36,30,36,40,24,18,24,28,31,33,27,19,21,28,13,22,64,58,64,66,61,50,57,61,68,66,55,76,90,106,107,133
Tract 32,s,s,26,14,s,37,21,17,15,1.7,s,s,15,9.4,s,s,48,66,s,s,41,29,94,98,53,64,s,s,57784,90699,s,s,57,916,964,1000,1075,1036,1110,1007,934,873,1073,1294,1378,1382,1399,1285,1266,558,622,658,684,627,636,512,481,399,447,471,424,390,399,369,330,23,15,25,32,25,19,27,19,19,15,14,9.6,10,9.2,7.3,7.9,50,46,48,56,60,47,50,40,36,42,49,38,50,46,42,35
Tract 33.01,s,s,23,11,s,34,0,12,27,3.4,s,s,15,5.9,s,s,53,82,s,s,26,5.4,97,98,67,72,s,s,76692,142368,s,s,86,377,352,343,357,374,400,310,315,320,378,384,472,436,417,350,351,209,193,189,185,217,202,136,147,152,143,127,141,118,98,83,75,14,18,18,16,11,11,9.4,10,13,14,6.6,6.6,7.5,7.8,4.1,7.2,43,55,48,76,50,39,47,42,36,31,41,39,50,34,47,43
Tract 33.02,s,s,15,15,s,16,8.8,20,12,38,s,s,14,11,s,s,55,72,s,s,26,9.4,95,99,65,79,s,s,80286,119426,s,s,49,296,303,294,299,287,276,250,242,254,247,272,298,284,269,206,217,179,139,132,135,129,124,101,79,89,83,108,91,81,91,87,86,19,18,23,19,15,15,8.4,12,11,14,8.9,5.6,8,7,11,11,28,40,42,60,44,38,31,43,36,46,34,36,65,48,50,54
Tract 34,s,s,40,17,s,60,16,38,38,17,s,s,16,13,s,s,39,44,s,s,37,16,95,95,38,60,s,s,41577,94899,s,s,128,645,606,591,619,635,603,546,549,521,579,648,674,699,689,626,674,355,292,314,294,326,313,217,244,230,212,201,183,169,178,183,152,21,24,22,18,16,20,23,20,22,16,14,12,14,14,13,10,74,89,80,112,75,80,63,53,60,47,39,48,65,49,59,48
Tract 35,s,s,36,25,s,41,47,38,34,60,s,s,9,12,s,s,47,51,s,s,44,21,97,99,40,55,s,s,42119,77117,s,s,83,371,383,371,402,406,419,405,380,361,409,501,648,653,658,604,589,209,201,185,189,198,198,172,149,157,155,155,157,171,162,140,112,16,22,16,11,14,18,12,13,17,14,13,12,14,14,15,7.2,76,76,63,60,62,49,51,52,59,52,39,48,54,73,80,70
Tract 36,s,s,28,11,s,24,11,41,48,16,s,s,11,7.6,s,s,56,78,s,s,43,7.7,95,99,45,59,s,s,51602,113086,s,s,119,650,571,588,644,620,624,616,574,546,588,655,758,760,811,763,766,333,283,283,288,288,272,228,190,201,190,172,177,170,158,145,117,19,25,22,23,22,23,18,12,14,9.1,12,16,8.8,7.4,6.9,11,42,49,55,51,51,44,44,50,45,41,40,43,41,52,54,50
